BUNDESAMT FUER LANDESTOPOGRAFIE SWISSTOPO - DREIECKSVERMASCHUNG CHENyx06
FUER DIE KOORDINATENTRANSFORMATION LV03 <-> LV95 UEBER FINITE ELEMENTE
DREIECKSVERMASCHUNGSDEFINITION:                 STAND DER NACHFUERUNG:  03.2007
AG0250 10707450       10707351       10706431       2006
AG0251 10707450       10709000       10707661       2006
AG0252 10904181       10703461       10902071       2006
AG0253 10904181       10705711       10703461       2006
AG0254 10904181       10905111       10705711       2006
AG0255 10705711       10905111       10906091       2006
AG0256 10705711       10906091       10709000       2006
AG0257 10709000       10906091       10707661       2006
AG0258 10707661       10906091       10907061       2006
AG0259 10708430       10707661       10907061       2006
AG0260 10906091       10907161       10907061       2006
AG0261 10908090       10907061       10907161       2006
AG0262 10908040       10907061       10908090       2006
AG0263 10902151       10902071       10900147       2006
AG0264 10705582       10704341       10704441       2006
AG0265 10705582       10704441       10705711       2006
AG0266 10705191       10706211       10707201       2006
AG0267 10705191       10707201       10707131       2006
AG0268 10705191       10707131       10706041       2006
AG0269 10705021       10706041       10506191       2006
AG0270 10700101       10700201       10701081       2006
AG0271 10700101       10701081       10698081       2006
AG0272 10700101       10698241       10700201       2006
AG0273 10904181       10902071       10903261       2006
AG0274 10902151       10903261       10902071       2006
AG0275 10902151       10902231       10903261       2006
AG0300 11085411       11085281       11084360       2006
AG0301 11085411       11087261       11085281       2006
AG0302 11085411       11087461       11087261       2006
AG0303 11086030       11085281       11087261       2006
AG0304 11087461       11099010       11087261       2006
AG0305 11099010       11099000       11087261       2006
AG0306 11091560       11099000       11092081       2006
AG0307 11091560       11092081       10893481       2006
AG0308 11086030       11087261       11099000       2006
AG0309 11091280       11099000       11099010       2006
AG0310 11091280       11091241       11099000       2006
AG0311 11092081       11099000       11091241       2006
AG0312 11086030       11099000       10888000       2006
AG0313 11091560       10888000       11099000       2006
AG0314 11091280       11093311       11091241       2006
AG0315 11093311       11092081       11091241       2006
AG0316 11093311       11093320       11092081       2006
AG0317 11093311       11093410       11093320       2006
AG0318 11093410       11094421       11093320       2006
AG0319 11094421       11095261       11093320       2006
AG0320 11094421       11096400       11095261       2006
AG0321 11096400       11097331       11095261       2006
AG0322 11096400       11097491       11097331       2006
AG0323 11097491       11100317       11097331       2006
AG0324 11097491       11100610       11100317       2006
AG0325 11100610       11101371       11100317       2006
AG0326 11101371       11102201       11100317       2006
AG0327 11092081       11093320       11094051       2006
AG0328 11094051       11093320       11095261       2006
AG0329 11094051       11095261       11095081       2006
AG0330 11095261       11097331       11095081       2006
AG0331 11097011       11095081       11097331       2006
AG0332 11097011       11097331       11098090       2006
AG0333 11101091       11098090       11097331       2006
AG0334 11100317       11101091       11097331       2006
AG0335 11100317       11102201       11101091       2006
AG0336 10893481       11092081       11094051       2006
AG0337 10893481       11094051       10894777       2006
AG0338 10894777       11094051       11095081       2006
AG0339 10894777       11095081       11097011       2006
AG0340 11097011       10896181       10894777       2006
AG0341 11097011       11098090       10898621       2006
AG0342 11097011       10898621       10898431       2006
AG0343 10898431       10900681       10901351       2006
AG0344 10900681       10901581       10901351       2006
AG0345 10901351       10901581       10902351       2006
AG0346 10898621       11098090       10901581       2006
AG0347 11101091       10901581       11098090       2006
AG0348 10893481       10894641       10893371       2006
AG0349 10893481       10894777       10894641       2006
AG0350 10894641       10894777       10896181       2006
AG0351 10893371       10894641       10896181       2006
AG0352 11097011       10898431       10896181       2006
AG0353 10898431       10898311       10896181       2006
AG0354 10898431       10898621       10900681       2006
AG0355 10893230       10893371       10896063       2006
AG0356 10893371       10896181       10896063       2006
AG0357 10896063       10896181       10897201       2006
AG0358 10898311       10897201       10896181       2006
AG0359 10891137       10893230       10893082       2006
AG0360 10891137       10893082       10892040       2006
AG0361 10893082       10893230       10896063       2006
