anumber	ost	nord	state_of
10659010	575000.000	263000.000	2006
10659020	583000.000	263000.000	2006
10659030	585000.000	257000.000	2006
10663010	591294.420	255778.260	2006
10666027	598602.520	254944.610	2006
10667010	599644.630	260107.460	2006
10668000	601547.240	257599.520	2006
10668130	601808.900	255847.870	2006
10669010	590905.830	255973.640	2006
10671020	604545.990	265862.530	2006
10671110	604794.020	264191.180	2006
10671170	605411.520	261329.020	2006
10671200	605866.100	260153.020	2006
10671340	604409.750	258085.320	2006
10671500	604153.270	254184.850	2006
10672230	606781.540	260752.060	2006
10672536	607937.440	254273.770	2006
10673150	608910.320	263542.120	2006
10673571	608138.450	257759.020	2006
10674230	611427.248	263238.753	2006
10674410	610709.650	260607.940	2006
10674836	610767.210	264192.450	2006
10675050	613118.208	265369.174	2006
10675126	613421.260	264044.040	2006
10675560	613269.130	256926.470	2006
10676040	615057.980	264811.230	2006
10676280	614349.050	260393.400	2006
10676410	615741.600	258548.520	2006
10676580	615237.950	255309.560	2006
10677012	616514.440	266056.880	2006
10677156	616278.170	263166.020	2006
10678060	619829.910	263810.580	2006
10678280	618381.250	261122.830	2006
10678421	619678.100	258922.390	2006
10680703	621531.630	256613.300	2006
10681480	623395.090	258682.440	2006
10681850	623008.280	254413.990	2006
10682031	624003.750	265802.000	2006
10683120	626213.090	263218.650	2006
10684000	628621.190	258947.440	2006
10684270	628336.540	261009.940	2006
10684680	628462.050	255538.670	2006
10685040	630044.560	264902.410	2006
10686021	633082.900	265930.970	2006
10686160	632676.130	263020.110	2006
10686560	633183.040	257020.480	2006
10687021	635797.620	265834.990	2006
10687390	635823.500	259322.880	2006
10688091	636553.350	263744.340	2006
10688490	636888.400	254453.110	2006
10690380	638747.600	255564.810	2006
10690441	638331.070	259268.290	2006
10691051	640693.840	264728.480	2006
10691101	639977.460	263723.810	2006
10691231	639709.770	261082.150	2006
10691460	640152.030	255070.520	2006
10692221	641973.900	261635.720	2006
10692401	642619.400	257749.790	2006
10693021	644281.160	265677.260	2006
10693111	643974.100	263775.400	2006
10693271	644424.520	260181.250	2006
10693340	644340.090	258050.710	2006
10694061	646054.030	265195.250	2006
10695171	648388.760	262601.300	2006
10695291	647661.440	260651.520	2006
10695381	647958.360	258479.530	2006
10695481	647704.060	256210.690	2006
10696000	650702.520	264293.140	2006
10696031	649859.920	265732.040	2006
10696391	649451.550	259749.280	2006
10696471	650643.590	257828.960	2006
10697021	652226.670	265594.340	2006
10697211	651897.190	262231.240	2006
10697400	652253.040	259229.940	2006
10697581	651799.720	255186.020	2006
10698081	654797.820	264540.570	2006
10698241	653643.810	260986.780	2006
10698561	653909.550	255208.960	2006
10700101	656126.160	263134.010	2006
10700201	656811.540	261723.150	2006
10700371	655337.780	258136.910	2006
10700451	656531.740	256155.250	2006
10701081	658288.610	264793.970	2006
10701412	657006.290	259534.440	2006
10701492	657136.120	258323.960	2006
10701561	658768.840	256662.950	2006
10701651	657988.500	254297.290	2006
10702211	659410.200	262022.150	2006
10702281	659832.610	260903.770	2006
10702491	660360.640	257540.770	2006
10702610	660119.560	255148.700	2006
10703031	662688.820	263137.580	2006
10703461	662102.940	254303.510	2006
10704041	663180.340	265472.690	2006
10704241	663171.650	259361.410	2006
10704341	663304.770	258024.530	2006
10704441	664209.120	255772.190	2006
10705021	666230.540	265656.770	2006
10705131	665156.910	264156.170	2006
10705191	666436.220	262920.690	2006
10705361	665840.360	259441.570	2006
10705582	666144.250	256691.470	2006
10705711	664975.490	254125.370	2006
10706041	668042.080	264769.690	2006
10706211	667357.050	261202.950	2006
10706431	667958.360	257481.350	2006
10707131	670621.470	263103.330	2006
10707201	669081.940	261750.800	2006
10707250	670596.349	261035.013	2006
10707351	669703.720	259310.130	2006
10707450	670541.220	256937.550	2006
10707661	670469.870	254672.580	2006
10708130	672444.851	261699.207	2006
10708270	671116.965	258447.230	2006
10708361	671432.870	256034.700	2006
10708430	671425.583	254415.621	2006
10709000	668199.980	254435.740	2006
10710000	672525.090	259423.960	2006
10710050	673254.520	265491.000	2006
10710340	672611.995	257104.384	2006
10710380	673477.047	255441.704	2006
10711070	674827.360	264933.760	2006
10711130	675699.730	263799.840	2006
10711140	674854.310	263431.140	2006
10711230	674552.968	260997.253	2006
10711290	675450.474	260112.750	2006
10711460	674717.956	257041.655	2006
10711560	676050.520	254242.310	2006
10712060	677627.120	264895.590	2006
10712170	676796.040	262536.130	2006
10712290	677764.660	260689.320	2006
10712430	676205.270	257743.760	2006
10712600	676460.972	255166.454	2006
10713010	679553.640	265550.170	2006
10713080	679741.590	264014.050	2006
10713150	679444.170	262710.020	2006
10713350	679231.635	258391.054	2006
10713440	678318.492	256297.271	2006
10713540	678162.265	254707.854	2006
10714090	680944.060	263805.060	2006
10714180	681179.440	261920.630	2006
10714240	681796.320	260030.410	2006
10714370	680103.332	257230.563	2006
10714430	680478.150	254941.710	2006
10715060	682471.220	264906.370	2006
10715200	683935.580	262793.350	2006
10715360	683815.190	260276.490	2006
10715470	682069.479	257590.796	2006
10715590	683381.558	254165.233	2006
10716050	685448.850	264958.710	2006
10716090	684141.370	264436.710	2006
10716170	685055.050	262554.870	2006
10716320	685153.763	257801.919	2006
10716430	685897.080	255906.140	2006
10717040	686476.910	265406.670	2006
10717130	687144.540	263394.440	2006
10717190	687829.812	262135.890	2006
10717260	686923.933	260888.936	2006
10717370	687799.753	258466.248	2006
10717490	687744.960	255991.070	2006
10718050	688408.760	264577.640	2006
10718260	689457.050	260115.980	2006
10718360	687957.993	257423.541	2006
10718370	689534.000	257076.890	2006
10718400	689451.890	256057.270	2006
10718470	689810.481	254670.208	2006
10718480	688682.660	254840.590	2006
10720050	690098.910	265106.160	2006
10720140	690052.000	263581.540	2006
10720260	690687.404	261330.126	2006
10720360	690746.546	258947.193	2006
10720390	690092.524	258187.729	2006
10720401	691528.235	257860.857	2006
10720480	691743.240	255947.410	2006
10721000	693037.827	258953.284	2006
10721050	692392.240	265185.920	2006
10721120	692946.360	263927.660	2006
10721190	693107.070	262380.540	2006
10721430	693732.117	257140.068	2006
10721550	692919.540	254259.090	2006
10722060	694632.680	264551.960	2006
10722110	695550.310	263166.980	2006
10722220	695436.001	261662.432	2006
10722370	694181.017	260307.594	2006
10722460	695559.705	258478.117	2006
10722710	695118.657	254164.266	2006
10723070	697377.230	264772.500	2006
10723260	696902.028	262092.657	2006
10723410	696323.884	260732.286	2006
10723690	697799.668	254623.981	2006
10724105	699698.110	264084.780	2006
10724190	698329.210	262318.320	2006
10724390	698364.437	259176.153	2006
10724540	698704.307	256472.685	2006
10724610	699631.678	254761.601	2006
10725040	700791.120	265192.290	2006
10725070	701919.030	264834.800	2006
10725120	701023.180	263697.620	2006
10725150	700648.950	262798.620	2006
10725250	700949.340	260251.580	2006
10725350	700621.660	257762.610	2006
10725560	701268.130	254077.790	2006
10726170	702362.870	262612.990	2006
10726270	702589.240	260595.380	2006
10726400	702865.950	258215.960	2006
10726550	702012.870	255324.510	2006
10727010	704781.990	265802.030	2006
10727080	705592.940	264105.030	2006
10727180	704584.720	261873.350	2006
10727350	704583.940	258997.490	2006
10727500	704915.140	256305.760	2006
10727620	704771.990	254121.080	2006
10728190	707198.740	261455.500	2006
10730110	708207.930	263472.800	2006
10730250	708842.590	259861.690	2006
10730390	707894.100	254689.880	2006
10730500	707623.710	257572.920	2006
10731090	709971.590	264974.610	2006
10731180	709908.350	263293.070	2006
10731250	710088.920	261721.590	2006
10731490	710447.760	257212.370	2006
10732080	712530.250	264285.670	2006
